subject,lr
102311,RL
105014,RL
117122,LR
118528,LR
120212,RL
123420,LR
124826,RL
137027,RL
144832,LR
146331,RL
150726,LR
153833,LR
155635,RL
158035,LR
178950,RL
186141,RL
187143,LR
192843,RL
203418,RL
214726,RL
